temperature_C,pressure_bar,vibration_mm_s,flow_rate_m3_h,runtime_hrs,sensor_drift_index,failure_next_24h
1005.1,7.42,3.74,1246.83,1622,0.848,1
923.91,6.62,2.16,1003.42,1691,0.046,0
997.17,7.73,3.67,1195.54,1749,0.864,1
959.65,6.1,3.29,1144.58,986,0.292,0
1016.75,7.98,4.0,1107.14,1933,0.688,1
917.08,6.23,1.98,1089.12,361,0.149,0
991.06,7.03,2.86,1102.31,864,0.22,0
1010.57,6.67,3.98,1057.26,1884,0.622,1
923.16,6.91,1.59,1079.51,1304,0.122,0
1016.49,7.64,4.15,1111.65,1688,0.73,1
1023.61,6.83,3.14,1081.15,1859,0.731,1
981.61,7.14,3.81,1071.72,37,0.283,0
947.31,6.2,2.64,1258.91,258,0.21,0
1004.78,6.11,2.78,1085.34,994,0.204,0
1011.66,7.83,3.82,941.96,1871,0.751,1
948.33,6.56,3.17,1163.57,1999,0.163,0
1002.08,6.46,2.28,1182.3,578,0.249,0
876.84,6.52,3.32,1070.21,1851,0.0,0
1008.22,7.73,4.17,1277.38,1949,0.705,1
1020.55,7.3,4.52,1138.55,1994,0.712,1
951.85,6.89,3.46,878.24,1159,0.124,0
948.49,6.06,3.12,998.02,684,0.14,0
923.04,6.2,2.51,1121.45,1859,0.168,0
1025.63,7.46,3.99,1078.44,1809,0.661,1
1065.58,6.73,2.04,1188.66,1165,0.234,0
1038.74,7.11,4.24,1222.22,1794,0.661,1
1014.06,8.03,4.13,1284.13,1974,0.661,1
922.27,6.44,2.08,1038.33,1406,0.225,0
963.78,6.06,1.71,1267.65,1024,0.109,0
940.77,6.2,3.39,987.09,1154,0.253,0
938.92,5.68,2.46,1105.34,201,0.116,0
920.55,6.04,2.22,1034.86,1858,0.088,0
910.4,6.89,2.92,1121.66,974,0.151,0
1023.03,7.72,4.1,1188.49,1680,0.665,1
960.27,7.21,2.33,1295.29,3,0.093,0
972.8,6.01,4.32,1180.77,632,0.18,0
1034.55,7.4,3.58,1172.38,1846,0.573,1
970.11,6.94,3.31,969.29,726,0.139,0
912.63,5.88,2.73,1162.59,242,0.12,0
960.25,6.09,2.48,1020.43,1896,0.344,0
953.6,6.37,1.71,1074.48,1333,0.192,0
998.97,6.06,2.55,1075.31,116,0.243,0
994.33,6.47,2.15,986.89,746,0.263,0
1016.94,7.16,2.9,1134.36,391,0.102,0
898.69,7.35,3.26,1123.77,1847,0.225,0
976.71,6.48,3.65,1209.25,1260,0.198,0
1026.71,7.54,3.74,1080.66,1620,0.635,1
942.31,6.73,2.26,956.89,42,0.352,0
1021.82,7.5,3.93,1116.85,1854,0.527,1
985.61,6.43,1.91,1051.6,1941,0.386,0
963.86,7.18,2.56,913.33,1699,0.367,0
1036.73,7.19,4.35,1265.0,1654,0.746,1
968.37,6.42,2.6,1230.71,1835,0.319,0
1020.64,7.91,3.74,1144.78,1740,0.595,1
902.48,6.78,3.59,998.73,625,0.316,0
1020.8,7.62,3.29,1161.34,1872,0.724,1
953.52,7.03,3.18,1193.74,1809,0.163,0
1022.38,5.81,3.3,1141.34,1433,0.272,0
1017.15,7.91,3.68,1093.66,1772,0.698,1
944.29,6.48,3.33,1172.72,456,0.195,0
943.58,6.34,2.32,977.76,1651,0.227,0
995.58,6.54,2.89,1069.95,795,0.246,0
961.67,7.01,2.07,1146.13,1736,0.263,0
922.21,6.13,1.49,1139.63,484,0.243,0
945.12,7.77,1.15,1196.61,983,0.274,0
988.33,6.77,1.93,1183.02,1198,0.0,0
967.92,6.5,3.06,1254.8,121,0.424,0
944.43,6.33,3.01,1103.76,1706,0.308,0
896.81,6.62,1.51,1030.7,467,0.172,0
933.23,6.98,2.51,1016.56,1706,0.306,0
954.23,6.58,3.38,1254.08,1324,0.38,0
1022.5,7.69,3.74,1251.37,1895,0.699,1
1025.21,7.67,4.16,1115.33,1789,0.839,1
1019.46,7.68,3.17,1073.08,1947,0.755,1
971.39,6.07,2.6,1199.19,1748,0.402,0
964.08,7.13,1.72,1211.39,992,0.213,0
1009.69,7.12,3.86,1124.65,1693,0.719,1
1018.64,7.52,2.75,1257.67,1849,0.787,1
1030.51,7.65,3.06,1084.55,1741,0.631,1
1014.6,6.91,3.73,1254.67,1605,0.651,1
1018.34,6.91,3.49,1097.34,1982,0.656,1
1025.66,7.71,3.41,1250.75,1613,0.735,1
926.45,6.92,2.43,1136.3,1935,0.287,0
1010.53,7.41,3.7,1036.98,1883,0.689,1
1021.8,7.59,3.96,1138.63,1801,0.694,1
989.64,5.96,2.16,823.27,1437,0.254,0
1028.33,7.48,4.0,1164.44,1624,0.91,1
1005.97,5.88,2.39,1131.28,1970,0.237,0
1011.55,7.44,3.61,1127.92,1743,0.616,1
1023.02,7.78,3.94,1070.87,1940,0.805,1
988.15,6.46,2.12,1099.29,1112,0.005,0
949.18,6.24,3.71,998.43,968,0.333,0
1024.71,7.45,3.51,1192.59,1978,0.596,1
920.57,6.8,0.44,1065.33,1326,0.269,0
918.27,6.01,1.88,982.02,1760,0.277,0
958.98,6.3,2.72,1086.47,565,0.261,0
1029.87,7.31,4.91,1265.31,1704,0.624,1
1019.98,7.44,3.33,1193.59,1810,0.647,1
936.03,7.2,2.93,1007.38,184,0.115,0
910.64,7.0,3.58,1191.54,838,0.152,0
1005.85,7.61,4.09,1027.65,1741,0.682,1
959.05,6.47,1.81,1190.35,1829,0.148,0
914.32,6.7,1.69,1167.85,61,0.164,0
887.0,6.29,2.9,932.87,808,0.386,0
935.92,7.04,3.3,1130.52,684,0.083,0
948.96,6.01,2.77,1316.55,967,0.101,0
1027.11,7.72,4.67,1020.41,1795,0.846,1
948.08,6.13,2.64,1116.61,1134,0.121,0
987.08,6.96,1.92,1150.53,1293,0.272,0
1002.66,6.48,3.12,1164.63,1360,0.131,0
1023.18,7.95,3.54,1087.27,1921,0.458,1
996.14,6.24,3.2,897.34,1581,0.204,0
1024.41,7.06,4.02,1045.34,1628,0.806,1
1029.64,7.44,3.28,1137.06,1893,0.84,1
931.62,6.31,2.49,1111.56,1176,0.192,0
1012.27,7.61,4.39,1135.21,1681,0.551,1
948.18,6.47,2.02,1151.25,1284,0.322,0
945.57,6.06,2.19,1181.56,1253,0.399,0
950.31,6.86,1.74,1203.32,996,0.184,0
1017.8,7.27,4.24,1202.73,1700,0.471,1
1018.12,7.38,4.35,1148.41,1994,0.667,1
890.9,5.97,1.07,1119.26,65,0.287,0
936.45,5.98,3.39,1223.54,1203,0.182,0
922.42,6.25,2.92,991.33,631,0.239,0
907.8,5.76,2.37,1215.23,178,0.193,0
1018.56,7.5,4.4,983.62,1768,0.764,1
1030.29,7.5,3.52,1260.01,1657,0.824,1
1027.2,6.57,2.12,1142.03,1174,0.142,0
931.26,6.66,1.4,953.97,427,0.288,0
977.12,5.41,2.43,1183.53,441,0.356,0
1032.09,7.99,4.17,1126.11,1990,0.642,1
956.1,6.47,2.27,1127.5,568,0.282,0
1024.62,7.45,4.08,1149.06,1968,0.803,1
927.33,6.85,2.74,1003.48,529,0.108,0
954.94,6.21,2.06,983.46,698,0.03,0
940.51,5.96,2.34,1193.97,481,0.141,0
952.93,6.7,1.93,1197.52,225,0.382,0
992.1,6.66,2.26,1026.13,1621,0.396,0
966.75,7.0,3.89,1104.03,1744,0.284,0
1025.01,8.11,4.32,1142.42,1633,0.675,1
1002.86,6.92,4.4,1197.74,1904,0.635,1
901.8,6.47,2.86,1101.82,1545,0.005,0
1023.34,6.88,3.74,1321.04,1783,0.902,1
1026.53,7.09,4.21,1143.98,1712,0.767,1
1030.55,7.66,3.71,1196.63,1615,0.645,1
895.38,6.67,2.87,1138.51,612,0.12,0
1019.01,7.49,4.14,962.4,1606,0.818,1
1041.65,6.98,4.03,1132.6,1989,0.682,1
1025.34,7.56,4.12,1093.45,1705,0.564,1
945.46,7.06,2.23,997.38,1376,0.276,0
1024.47,7.73,3.1,1148.79,1933,0.709,1
1006.55,7.54,4.48,1221.82,1856,0.784,1
964.95,6.45,3.05,905.74,727,0.365,0
1024.73,7.85,4.13,1119.03,1970,0.671,1
954.35,6.99,2.64,1024.13,1580,0.157,0
1021.81,7.64,4.26,1104.07,1943,0.802,1
967.61,6.43,3.57,1160.55,686,0.049,0
1032.1,7.59,4.47,1102.9,1778,0.671,1
964.94,5.9,2.37,1095.01,427,0.28,0
1013.15,7.48,4.25,1188.67,1916,0.587,1
955.55,7.52,2.84,1050.43,738,0.083,0
1034.54,7.65,4.51,1060.89,1725,0.712,1
927.38,6.41,3.46,1033.89,218,0.115,0
982.19,7.26,2.45,1228.69,785,0.109,0
955.83,6.52,2.46,1061.24,904,0.185,0
934.02,6.35,1.02,982.81,1631,0.286,0
1026.75,6.02,1.96,1108.5,1862,0.43,0
1044.26,7.28,4.32,1138.67,1892,0.663,1
1011.39,7.53,3.41,1054.57,1731,0.8,1
949.82,5.76,2.06,1012.03,881,0.204,0
1032.8,7.47,4.5,1155.51,1919,0.651,1
1036.77,7.39,4.87,1074.97,1624,0.609,1
935.39,5.81,2.32,1199.07,1900,0.013,0
964.0,6.14,1.84,1059.77,1803,0.181,0
1020.47,7.52,3.41,1131.25,1753,0.727,1
987.67,6.83,2.24,892.79,971,0.329,0
1015.07,7.64,4.56,1096.28,1845,0.831,1
959.94,5.9,4.35,951.78,1949,0.255,0
939.21,7.79,1.54,1099.16,270,0.128,0
1006.9,6.58,2.39,1000.11,777,0.102,0
959.86,7.11,1.42,1299.21,161,0.117,0
1002.39,7.51,3.4,1102.69,1952,0.74,1
1006.63,7.28,3.82,1139.97,1995,0.454,1
1037.58,7.76,3.64,1031.45,1604,0.718,1
953.76,6.62,2.6,1129.17,1228,0.219,0
951.42,7.3,3.07,1053.23,117,0.209,0
944.08,6.03,3.22,1163.52,508,0.296,0
1015.12,7.24,3.53,1173.78,1937,0.722,1
950.55,6.35,2.41,1062.4,574,0.275,0
935.01,7.34,2.8,1176.12,1569,0.119,0
978.49,6.17,2.18,1161.74,869,0.268,0
983.8,6.48,3.07,1020.53,554,0.058,0
1018.18,7.5,3.86,1177.86,1661,0.663,1
929.8,7.43,2.09,1189.65,1484,0.183,0
989.87,7.45,2.66,1021.57,1966,0.177,0
1020.64,8.01,3.77,1183.31,1854,0.715,1
917.27,6.57,1.69,1028.87,124,0.292,0
1024.9,7.88,3.78,1175.06,1715,0.684,1
926.29,5.81,0.84,1136.24,1440,0.185,0
969.36,6.65,3.01,1129.17,1297,0.192,0
886.28,6.61,2.14,974.09,982,0.236,0
1015.68,7.95,4.45,1299.89,1642,0.582,1
983.21,6.2,2.73,1217.48,803,0.196,0
1025.01,7.18,4.86,1098.87,1930,0.746,1
1022.71,7.56,3.82,1156.09,1637,0.665,1
930.57,6.51,3.18,1073.05,1469,0.364,0
994.57,7.55,3.29,1211.38,1871,0.801,1
1005.45,7.6,4.27,1213.01,1837,0.744,1
978.07,7.1,2.04,1128.39,1769,0.362,0
1020.8,7.56,4.63,1018.54,1628,0.671,1
1011.2,7.73,3.78,1153.33,1798,0.756,1
957.83,6.79,2.56,977.05,445,0.124,0
969.54,7.26,1.59,1153.29,102,0.109,0
1002.66,7.5,3.79,1064.24,1605,0.751,1
952.32,6.59,2.57,981.88,1042,0.261,0
933.54,6.84,2.96,1017.07,227,0.03,0
955.6,5.41,1.83,1088.2,454,0.332,0
924.08,6.47,2.84,1172.72,1262,0.101,0
1031.29,7.36,3.96,1193.27,1843,0.66,1
1014.72,7.27,4.5,1219.93,1799,0.597,1
931.83,6.65,2.9,1082.82,1007,0.3,0
995.63,6.9,2.12,800.63,1036,0.216,0
951.78,6.68,3.77,1230.5,110,0.154,0
1004.25,6.95,4.38,1149.3,1783,0.805,1
930.44,7.55,2.02,1182.01,840,0.108,0
924.6,6.95,2.48,1091.08,840,0.138,0
964.76,5.65,4.31,1051.98,492,0.208,0
1021.07,7.14,4.52,1065.69,1709,0.643,1
925.75,6.41,2.43,1237.56,521,0.186,0
993.6,6.49,1.41,1110.75,884,0.254,0
1038.47,5.97,3.23,1209.95,1216,0.061,0
1029.67,7.15,3.13,1207.92,1899,0.942,1
1015.78,6.75,4.51,1144.05,1980,0.654,1
961.6,6.49,3.61,1160.37,153,0.267,0
958.81,6.9,2.05,979.15,1254,0.207,0
943.72,6.56,2.1,1112.27,655,0.207,0
955.08,6.47,2.4,1176.37,891,0.258,0
928.16,7.16,2.68,1135.88,1383,0.248,0
1031.23,8.13,3.46,1274.09,1870,0.61,1
949.9,6.71,2.57,1107.47,30,0.12,0
1022.96,7.28,4.12,1250.58,1695,0.796,1
940.72,6.6,3.22,1088.5,152,0.292,0
1011.9,7.22,4.01,1011.58,1767,0.655,1
1002.28,8.05,4.39,1003.08,1901,0.799,1
927.93,5.94,2.63,1085.18,668,0.28,0
986.25,7.04,3.99,1108.72,1923,0.176,0
920.65,6.09,1.88,1215.66,916,0.183,0
951.23,6.48,1.27,1103.29,1876,0.176,0
914.9,6.39,1.98,918.09,57,0.288,0
1027.51,7.3,3.31,1131.87,1936,0.524,1
995.69,6.76,1.78,1007.38,71,0.228,0
951.75,6.31,2.29,851.25,1372,0.235,0
929.21,6.23,2.24,1140.25,1746,0.106,0
923.99,6.68,1.68,932.76,885,0.053,0
1020.17,7.42,3.47,1238.39,1992,0.763,1
1022.46,7.59,4.5,1141.56,1720,0.697,1
1029.67,7.33,3.82,1180.27,1928,0.763,1
1013.95,7.27,4.2,1201.11,1856,0.671,1
1032.82,6.82,4.01,1291.94,1729,0.801,1
1038.16,7.0,3.3,1062.24,1675,0.697,1
906.92,6.06,3.02,1227.84,649,0.335,0
900.7,6.66,2.11,1191.09,917,0.088,0
970.14,6.63,2.18,1144.14,1572,0.274,0
1020.92,6.69,3.58,1087.55,222,0.339,0
945.88,5.75,1.83,1085.5,365,0.335,0
1028.27,7.83,3.57,1150.59,1889,0.725,1
1012.3,7.74,3.96,1132.7,1754,0.661,1
1019.71,7.24,4.05,1049.56,1661,0.796,1
1033.06,7.28,4.85,1117.76,1953,0.618,1
936.23,6.88,2.21,1078.33,1645,0.251,0
1025.97,7.44,4.65,1172.67,1624,0.648,1
976.23,6.51,2.3,1032.39,586,0.289,0
1029.05,7.19,4.24,1056.84,1942,0.858,1
922.71,6.01,2.27,947.48,393,0.202,0
969.86,6.52,2.63,1110.65,479,0.048,0
976.86,6.01,1.67,926.23,1724,0.319,0
